Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
chess-krvkp.csv,CL_s,2,"{'n_estimators': 30, 'max_depth': 16, 'criterion': 'entropy'}",0.996875,1.0,0.0,0.9938271604938271,0.9999609359740615,0.9999616593819494,2.5424437522888184,0.0187017023563385
chess-krvkp.csv,CL_s,3,"{'n_estimators': 20, 'max_depth': 16, 'criterion': 'gini'}",0.990625,1.0,0.0,0.9833333333333333,0.99909130417605,0.9992520019620763,2.6050000190734863,0.009072571992874146
chess-krvkp.csv,CL_s,4,"{'n_estimators': 30, 'max_depth': 16, 'criterion': 'entropy'}",0.996875,1.0,0.0,0.994475138121547,1.0,1.0,3.1075491905212402,0.02032145857810974
chess-krvkp.csv,CL_s,5,"{'n_estimators': 30, 'max_depth': 16, 'criterion': 'entropy'}",0.99375,1.0,0.0,0.9878048780487805,1.0,1.0,2.7345612049102783,0.022005289793014526
chess-krvkp.csv,CL_s,6,"{'n_estimators': 40, 'max_depth': 25, 'criterion': 'gini'}",0.9875,0.9936708860759493,0.006329113924050667,0.98125,0.9944522581653383,0.9879680631809642,2.6823811531066895,0.021573901176452637
chess-krvkp.csv,CL_s,7,"{'n_estimators': 20, 'max_depth': 16, 'criterion': 'gini'}",0.987460815047022,0.9819277108433735,0.01807228915662651,0.9939024390243902,0.9996456413890857,0.9996791647175991,2.248497247695923,0.012491937715058042
chess-krvkp.csv,CL_s,8,"{'n_estimators': 30, 'max_depth': 37, 'criterion': 'gini'}",0.9905956112852664,0.9880952380952381,0.011904761904761862,0.9940119760479041,0.9998226111636708,0.9998261416969889,2.8330376148223877,0.01579093335190537
chess-krvkp.csv,CL_s,9,"{'n_estimators': 20, 'max_depth': 12, 'criterion': 'gini'}",0.9843260188087775,0.9806451612903225,0.01935483870967747,0.987012987012987,0.9967348544453186,0.9954674552727178,2.640014886856079,0.012400008294275936
chess-krvkp.csv,CL_s,10,"{'n_estimators': 20, 'max_depth': 16, 'criterion': 'gini'}",0.9686520376175548,0.9764705882352941,0.02352941176470591,0.9651162790697675,0.9968811685748125,0.9973870499472116,3.054985761642456,0.01262572118107428
congressional-voting.csv,CL_s,1,"{'n_estimators': 20, 'max_depth': 16, 'criterion': 'gini'}",0.5681818181818182,0.21052631578947367,0.7894736842105263,0.5,0.634736842105263,0.5162824471354417,1.8981695175170898,0.05890564485029741
congressional-voting.csv,CL_s,2,"{'n_estimators': 10, 'max_depth': 31, 'criterion': 'entropy'}",0.6136363636363636,0.10526315789473684,0.8947368421052632,1.0,0.6936842105263158,0.6032527226800282,1.9184765815734863,0.03942576321688566
congressional-voting.csv,CL_s,3,"{'n_estimators': 20, 'max_depth': 12, 'criterion': 'gini'}",0.6590909090909091,0.07142857142857142,0.9285714285714286,0.3333333333333333,0.6023809523809524,0.37568312261383685,1.9332573413848877,0.09061531587080522
congressional-voting.csv,CL_s,4,"{'n_estimators': 20, 'max_depth': 16, 'criterion': 'gini'}",0.6818181818181818,0.1875,0.8125,0.75,0.7321428571428572,0.5567178301093356,2.166747808456421,0.04576011137528853
congressional-voting.csv,CL_s,5,"{'n_estimators': 10, 'max_depth': 26, 'criterion': 'entropy'}",0.45454545454545453,0.0,1.0,0.0,0.6604166666666667,0.6584391674424976,1.6248056888580322,0.04462762312455611
congressional-voting.csv,CL_s,6,"{'n_estimators': 20, 'max_depth': 16, 'criterion': 'gini'}",0.5581395348837209,0.0,1.0,0.0,0.6211111111111111,0.5139965546942291,1.4588923454284668,0.045671019443245815
congressional-voting.csv,CL_s,7,"{'n_estimators': 30, 'max_depth': 16, 'criterion': 'entropy'}",0.7441860465116279,0.3333333333333333,0.6666666666666667,0.8333333333333334,0.7642857142857142,0.5785858585858585,1.760969877243042,0.13516115587811137
congressional-voting.csv,CL_s,8,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.6511627906976745,0.25,0.75,0.3333333333333333,0.5134408602150538,0.2925251377119193,1.8151090145111084,0.11593796486078306
congressional-voting.csv,CL_s,9,"{'n_estimators': 20, 'max_depth': 16, 'criterion': 'gini'}",0.6046511627906976,0.2,0.8,0.375,0.5773809523809524,0.40083275475432334,1.5599029064178467,0.04653043525163517
congressional-voting.csv,CL_s,10,"{'n_estimators': 10, 'max_depth': 26, 'criterion': 'entropy'}",0.627906976744186,0.1875,0.8125,0.5,0.65625,0.5067981078061723,1.3992128372192383,0.023204226826512537
conn-bench-sonar-mines-rocks.csv,CL_s,1,"{'n_estimators': 30, 'max_depth': 16, 'criterion': 'entropy'}",0.6666666666666666,0.5454545454545454,0.4545454545454546,0.75,0.8409090909090908,0.8139905548996459,2.082754373550415,0.18986066182454428
conn-bench-sonar-mines-rocks.csv,CL_s,2,"{'n_estimators': 30, 'max_depth': 27, 'criterion': 'entropy'}",0.7619047619047619,0.5,0.5,0.8,0.8942307692307693,0.8520833333333333,1.6806972026824951,0.1915750049409412
conn-bench-sonar-mines-rocks.csv,CL_s,3,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.8571428571428571,0.9090909090909091,0.09090909090909094,0.8333333333333334,0.95,0.9679144385026738,1.7624578475952148,0.24319830394926525
conn-bench-sonar-mines-rocks.csv,CL_s,4,"{'n_estimators': 30, 'max_depth': 37, 'criterion': 'gini'}",0.9523809523809523,1.0,0.0,0.8888888888888888,0.9951923076923077,0.9861111111111112,1.5968854427337646,0.14244942438034786
conn-bench-sonar-mines-rocks.csv,CL_s,5,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.9047619047619048,0.8,0.19999999999999996,1.0,0.9681818181818181,0.9714285714285715,1.601227045059204,0.23638634454636348
